perseverance	period		common EME Latinate noun
persuasion	period		common EME Latinate noun
pertain	period		common EME verb
perversely	period		adverb of attested "perverse"
perverseness	period		-ness form of attested "perverse"
perverteth	period		regular -eth verb form
perverting	period		regular participle of attested "pervert"
pestle	period		common ME/EME tool word
pierced	period		regular past of attested "pierce"
pierceth	period		regular -eth verb form
piercings	period		gerund plural of attested "pierce"
pillows	period		plural of attested "pillow"
pinnacle	period		common EME Latinate noun
pitieth	period		regular -eth verb form
pitiful	period		common EME adjective
plainness	period		-ness form of attested "plain"
plaiting	period		regular participle of attested "plait"
plantings	period		gerund plural of attested "plant"
pleadings	period		gerund plural of attested "plead"
pleasantness	period		-ness form of attested "pleasant"
pledges	period		plural of attested "pledge"
plenteousness	period		-ness form of attested EME "plenteous"
plotteth	period		regular -eth verb form
ploweth	period		regular -eth verb form
plucketh	period		regular -eth verb form
plumbline	period		compound of two attested words
plummet	period		common EME tool word
polls	period		attested EME noun, "heads" sense
polluting	period		regular participle of attested "pollute"
pollutions	period		plural of attested "pollution"
